#Supplementary Table S2. GCF representative BGCs and their associated Seurat clusters in the BTyperBGC atlas.
Seurat_clusters	GCF_representative_BGCs
7	BTDB_2024-0000100.1.clusterscontig00021_cluster_1
4	BTDB_2022-0005117.2.clustersSRX2501047_00037_cluster_2
9	BTDB_2022-0003072.2.clustersSAMN15353911-SRR14323286_00022_cluster_1
0	BTDB_2022-0006114.1.clustersSRX113023-SRR392517_00029_cluster_1
12	BTDB_2022-0002818.2.clustersCP031069.1_cluster_3
1	AS.BTDB_2022-0002017_c00098_GCA_002...region001
7	AS.BTDB_2025-0004865_JBLFEW010000040.region001
7	BTDB_2025-0004118.1.clustersSAMN41517867-SRR29155958_00019_cluster_2
6	BTDB_2025-0003547.1.clustersSAMN36761976-SRR25463591_00072_cluster_1
6	AS.BTDB_2022-0003543_JAKUDV010000014.region001
6	AS.BTDB_2025-0003275_c00063_SAMN339...region001
4	BTDB_2025-0004277.1.clustersSAMN41980967-SRR29495219_00028_cluster_1
6	BTDB_2022-0002547.2.clustersNWUW01000074.1_cluster_1
7	BTDB_2025-0002596.1.clustersSAMN32974902-SRR23885216_00035_cluster_1
4	BTDB_2022-0000829.2.clustersGCA_001044815.1_Contig_10_cluster_1
0	AS.BTDB_2022-0000024_DRX057103_00010.region001
4	BTDB_2025-0001169.1.clustersJAFLOW010000002.1_cluster_1
7	BTDB_2022-0002590.2.clustersSAMN07955882-SRR6238345_00093_cluster_1
7	AS.BTDB_2022-0003543_JAKUDV010000017.region001
7	BTDB_2022-0002731.2.clustersSAMN11964735-SRR12104980_00015_cluster_1
4	BTDB_2025-0003831.1.clustersSAMN38693318-SRR27109226_00013_cluster_1
2	AS.BTDB_2025-0001566_JAOPQA010000087.region001
4	AS.BTDB_2025-0004095_CP152429.1.region001
1	AS.BTDB_2022-0006240_c00045_SRX1154...region001
4	BTDB_2022-0001186.2.clustersGCA_002147825.1_Contig_84_cluster_1
4	AS.BTDB_2022-0002375_c00165_GCA_002...region001
4	BTDB_2022-0001768.2.clustersGCA_002562165.1_Contig_51_cluster_1
1	AS.BTDB_2022-0002621_c00072_SAMN082...region001
4	AS.BTDB_2022-0002663_CP032614.1.region001
1	BTDB_2025-0004115.1.clustersJBEUNL010000002.1_cluster_4
4	AS.BTDB_2025-0003397_c00002_SAMN343...region001
12	BTDB_2025-0002855.1.clustersSAMN33769574-SRR23876398_00035_cluster_1
2	BGC0002667
11	AS.BTDB_2022-0001661_c00005_GCA_002...region001
1	AS.BTDB_2022-0002786_c00039_GCA_007...region001
8	BTDB_2022-0000981.2.clustersLXLY01000037.1_cluster_1
4	BTDB_2025-0003831.1.clustersSAMN38693318-SRR27109226_00008_cluster_3
5	AS.BTDB_2022-0002406_c00078_GCA_002...region001
4	BTDB_2022-0001596.2.clustersGCA_002558365.1_Contig_225_cluster_1
1	BTDB_2022-0001552.2.clustersGCA_002557205.1_Contig_63_cluster_1
4	AS.BTDB_2022-0000574_c00017_GCA_000...region001
4	BTDB_2022-0002174.2.clustersGCA_002572385.1_Contig_304_cluster_1
9	BGC0001540
12	AS.BTDB_2022-0002851_c00021_GCA_008...region001
2	BTDB_2025-0001597.1.clustersSAMN27545659-GCA_025519485.1_Contig_1_cluster_1
10	BTDB_2025-0001633.1.clustersSAMN27545696-GCA_025517825.1_Contig_1_cluster_1
6	BTDB_2022-0003591.2.clustersJAKUFS010000004.1_cluster_1
4	BTDB_2022-0003623.2.clustersJAKUGX010000019.1_cluster_1
1	BGC0001291
9	BGC0001796
5	BTDB_2022-0001502.2.clustersGCA_002555915.1_Contig_133_cluster_1
10	BTDB_2022-0003603.2.clustersJAKUGD010000002.1_cluster_1
3	BTDB_2022-0002872.2.clustersWJCA01000014.1_cluster_1
1	BTDB_2022-0001491.2.clustersGCA_002555675.1_Contig_216_cluster_1
12	BTDB_2022-0003097.2.clustersVOVC01000042.1_cluster_1
4	BTDB_2022-0002916.2.clustersWJDS01000017.1_cluster_1
2	BTDB_2025-0001259.1.clustersSAMN18335979-SRR13988863_00040_cluster_1
7	BTDB_2025-0002039.1.clustersJAQFVD010000011.1_cluster_1
7	BTDB_2025-0004473.1.clustersSAMN43795876-GCA_042790735.1_Contig_27_cluster_1
12	BTDB_2022-0002094.2.clustersGCA_002570545.1_Contig_113_cluster_1
5	BTDB_2022-0001198.2.clustersGCA_002148095.1_Contig_71_cluster_1
6	BTDB_2025-0003390.1.clustersSAMN34374868-SRR27678773_00001_cluster_8
4	AS.BTDB_2022-0001659_c00028_GCA_002...region001
1	AS.BTDB_2022-0001594_c00082_GCA_002...region001
9	BTDB_2025-0001698.1.clustersSAMN27545764-GCA_025516105.1_Contig_3_cluster_1
9	BTDB_2022-0002674.2.clustersSDFP01000010.1_cluster_1
7	AS.BTDB_2025-0001252_SAMN18335972_3.region001
5	BTDB_2022-0003050.2.clustersSAMN15163833-SRR12077163_00002_cluster_4
7	AS.BTDB_2025-0004977_JBMEQF010000020.region003
3	AS.BTDB_2025-0001878_c00005_SAMN313...region001
7	AS.BTDB_2025-0003094_c00029_SAMN337...region001
7	BTDB_2022-0002444.2.clustersGCA_002582575.1_Contig_107_cluster_1
9	BTDB_2022-0003089.2.clustersGCA_014932845.1_Contig_9_cluster_1
10	BTDB_2025-0003412.1.clustersSAMN34375040-SRR27678707_00001_cluster_9
10	BTDB_2022-0004224.2.clustersSRX9201764_00164_cluster_1
12	BTDB_2022-0001165.2.clustersGCA_002147415.1_Contig_87_cluster_1
10	AS.BTDB_2025-0003384_c00024_SAMN342...region001
1	AS.BTDB_2022-0000924_CP011157.1.region001
4	AS.BTDB_2022-0005632_SRX3566380_00056.region001
12	BTDB_2022-0003365.2.clustersSAMN21365267-SRR15829531_00012_cluster_3
4	BTDB_2022-0001535.2.clustersGCA_002556835.1_Contig_49_cluster_1
1	BGC0000527
1	BGC0001727
1	BTDB_2022-0000702.2.clustersJOTN01000004.1_cluster_2
4	BTDB_2022-0001614.2.clustersGCA_002558735.1_Contig_49_cluster_1
7	BTDB_2022-0002302.2.clustersGCA_002576795.1_Contig_59_cluster_1
11	BTDB_2022-0004420.2.clustersSRX12906724_00204_cluster_1
12	AS.BTDB_2025-0002170_JAQFQC010000015.region001
9	AS.BTDB_2025-0004400_c00025_SAMN433...region001
12	BGC0000926
4	AS.BTDB_2022-0001811_c00038_GCA_002...region001
7	BTDB_2022-0006426.1.clustersSAMN06238887-SRR5185033_00111_cluster_1
7	BTDB_2022-0000562.2.clustersGCA_000290715.1_Contig_106_cluster_1
4	BTDB_2024-0000065.1.clusterscontig00046_cluster_1
4	BTDB_2025-0004009.1.clustersJBAWLI010000023.1_cluster_1
4	BTDB_2022-0002804.2.clustersGCA_007682355.1_Contig_26_cluster_1
7	BTDB_2025-0004012.1.clustersJBAWLF010000133.1_cluster_1
7	BTDB_2025-0000520.1.clustersSAMN06238880-SRR23629697_00032_cluster_1
7	BTDB_2022-0003183.2.clustersJAEHBU010000038.1_cluster_1
7	BTDB_2022-0003783.2.clustersPS01373|SAMN25893864_5_cluster_1
7	BTDB_2022-0003610.2.clustersJAKUGJ010000019.1_cluster_1
1	AS.BTDB_2025-0003384_c00008_SAMN342...region001
1	BGC0001289
1	AS.BTDB_2022-0003591_JAKUFS010000025.region001
7	AS.BTDB_2022-0003583_JAKUFJ010000004.region001
3	BTDB_2025-0001212.1.clustersSAMN18335930-SRR13988909_00024_cluster_1
7	AS.BTDB_2025-0001244_SAMN18335964_5.region002
1	BTDB_2022-0000924.2.clustersCP011157.1_cluster_6
6	BTDB_2025-0003545.1.clustersSAMN36761974-SRR25463593_00036_cluster_1
8	BTDB_2025-0004000.1.clustersJBBAHF010000012.1_cluster_1
8	BTDB_2022-0002031.2.clustersGCA_002569175.1_Contig_173_cluster_1
9	BTDB_2022-0003007.2.clustersGCA_011751555.1_Contig_28_cluster_1
8	BTDB_2025-0001667.1.clustersSAMN27545731-GCA_025517125.1_Contig_53_cluster_1
8	BTDB_2022-0001822.2.clustersGCA_002564425.1_Contig_100_cluster_1
6	AS.BTDB_2022-0002848_c00048_SAMN127...region001
11	BTDB_2022-0003458.2.clustersJAKCWQ010000016.1_cluster_1
9	BTDB_2022-0004446.2.clustersSRX13820331_00068_cluster_1
10	AS.BTDB_2022-0006425_MWPX01000020.1.region001
11	AS.BTDB_2022-0003185_JAEHBV010000061.region001
7	AS.BTDB_2022-0003549_JAKUEA010000018.region001
4	AS.BTDB_2022-0001103_CP020744.1.region003
10	BTDB_2022-0003334.2.clustersCP066850.1_cluster_2
7	BTDB_2022-0003783.2.clustersPS01373|SAMN25893864_2_cluster_1
1	BTDB_2022-0003788.2.clustersPS01424|SAMN25893915_6_cluster_1
1	BTDB_2022-0001534.2.clustersGCA_002556825.1_Contig_43_cluster_1
1	BTDB_2025-0001737.1.clustersSAMN27545803-GCA_025517265.1_Contig_2_cluster_1
7	BTDB_2022-0002255.2.clustersGCA_002575715.1_Contig_333_cluster_1
5	BTDB_2025-0003715.1.clustersSAMN37927823-SRR26533099_00004_cluster_3
4	BTDB_2025-0004097.1.clustersSAMN41165331-SRR28876207_00015_cluster_2
5	BTDB_2025-0000791.1.clustersSAMN14512911-GCA_045004345.1_Contig_1_cluster_6
5	AS.BTDB_2022-0003368_JAIUXW010000012.region001
4	BTDB_2025-0001278.1.clustersSAMN18335998-SRR13988839_00019_cluster_1
4	BTDB_2022-0003310.2.clustersCP036010.1_cluster_1
12	BTDB_2022-0001617.2.clustersGCA_002558795.1_Contig_180_cluster_1
4	BTDB_2025-0004218.1.clustersSAMN41980908-SRR29495193_00021_cluster_1
4	BTDB_2022-0002708.2.clustersSAMN11483238-SRR10143191_00025_cluster_1
7	BTDB_2022-0002384.2.clustersGCA_002579945.1_Contig_68_cluster_1
4	BTDB_2022-0003952.2.clustersSRX9102569_00014_cluster_1
4	BTDB_2025-0004254.1.clustersSAMN41980944-SRR29495152_00045_cluster_1
4	BTDB_2022-0000540.2.clustersABCZ02000100.1_cluster_1
7	BTDB_2022-0002765.2.clustersGCA_007673715.1_Contig_37_cluster_1
1	BTDB_2025-0001329.1.clustersSAMN18336050_6_cluster_1
7	BTDB_2022-0003155.2.clustersSAMN16970001-SRR13176455_00026_cluster_1
4	BTDB_2022-0000050.2.clustersDRX205302_00044_cluster_1
4	AS.BTDB_2025-0002338_JAQQBL010000003.region001
12	BTDB_2022-0002889.2.clustersWJCR01000037.1_cluster_1
4	BTDB_2025-0003948.1.clustersJBANCE010000002.1_cluster_1
4	AS.BTDB_2022-0002612_c00008_GCA_002...region001
1	BTDB_2022-0003124.2.clustersGCA_015845125.1_Contig_121_cluster_1
6	BTDB_2025-0002162.1.clustersJAQFQK010000027.1_cluster_1
1	BTDB_2022-0001943.2.clustersGCA_002567325.1_Contig_34_cluster_1
7	AS.BTDB_2025-0001667_c00033_SAMN275...region001
4	BTDB_2022-0005675.2.clustersSRX3963386_00014_cluster_1
4	AS.BTDB_2022-0003322_CP036067.1.region001
11	BTDB_2022-0002093.2.clustersGCA_002570505.1_Contig_19_cluster_2
4	BTDB_2025-0002435.1.clustersSAMN32974707-SRR23885336_00020_cluster_1
1	BTDB_2025-0001995.1.clustersSAMN32063130-SRR22541122_00020_cluster_1
4	BTDB_2022-0001388.2.clustersGCA_002552125.1_Contig_41_cluster_1
11	BTDB_2025-0003841.1.clustersSAMN38790312-SRR27232553_00003_cluster_3
7	BTDB_2025-0001765.1.clustersSAMN29019232_3_cluster_2
4	BTDB_2022-0001779.2.clustersGCA_002562415.1_Contig_1_cluster_1
10	BTDB_2022-0001001.2.clustersMACI01000012.1_cluster_1
4	BTDB_2022-0002495.2.clustersGCA_002584885.1_Contig_29_cluster_1
4	BTDB_2025-0001232.1.clustersSAMN18335951-SRR13988901_00031_cluster_1
2	BTDB_2025-0001188.1.clustersJALJWA010000002.1_cluster_2
4	BTDB_2022-0000611.2.clustersGCA_000293545.1_Contig_64_cluster_1
4	BTDB_2025-0003718.1.clustersSAMN37954188-SRR26533100_00015_cluster_2
11	BTDB_2022-0001089.2.clustersGCA_002024565.1_Contig_1_cluster_1
1	BTDB_2022-0001411.2.clustersGCA_002552635.1_Contig_177_cluster_1
7	BTDB_2022-0002470.2.clustersGCA_002583755.1_Contig_46_cluster_1
1	BTDB_2022-0001995.2.clustersGCA_002568425.1_Contig_54_cluster_1
12	BTDB_2022-0002056.2.clustersGCA_002569715.1_Contig_99_cluster_1
2	BTDB_2022-0001911.2.clustersGCA_002566555.1_Contig_237_cluster_1
1	AS.BTDB_2022-0002673_SDFS01000010.1.region002
2	BTDB_2025-0003113.1.clustersSAMN33794271-SRR23885911_00141_cluster_1
1	BTDB_2025-0004434.1.clustersSAMN43782003-SRR30674126_00017_cluster_1
10	AS.BTDB_2025-0004009_JBAWLI010000029.region001
6	AS.BTDB_2022-0002647_c00523_GCA_003...region001
4	AS.BTDB_2022-0000562_c00066_GCA_000...region001
11	AS.BTDB_2022-0004423_c00093_SRX1290...region001
4	AS.BTDB_2022-0002766_c00021_GCA_007...region001
4	BTDB_2022-0002929.2.clustersCP046513.1_cluster_3
4	BTDB_2022-0003339.2.clustersCP036127.1_cluster_1
11	AS.BTDB_2025-0004009_JBAWLI010000031.region001
4	AS.BTDB_2022-0003834_c00003_PS01946...region001
0	AS.BTDB_2022-0001895_c00076_GCA_002...region001
12	BTDB_2025-0003704.1.clustersJAWMBX010000004.1_cluster_1
4	AS.BTDB_2022-0001103_CP020745.1.region001
4	BTDB_2025-0002454.1.clustersSAMN32974729-SRR23885376_00080_cluster_1
12	BTDB_2024-0000167.1.clusters12363ST_S64_00021_cluster_1
11	BTDB_2025-0004583.1.clustersSAMN43998145-GCA_044761275.1_Contig_23_cluster_1
1	BTDB_2025-0004156.1.clustersJBFDUK010000013.1_cluster_1
11	AS.BTDB_2025-0003426_SAMN35055521_1.region002
4	BTDB_2022-0003638.2.clustersCP064269.1_cluster_2
4	BTDB_2022-0006318.1.clustersSRX148138-SRR642158_00196_cluster_1
4	BTDB_2022-0004412.2.clustersSRX12906742_00040_cluster_1
6	AS.BTDB_2022-0002303_c00323_GCA_002...region001
10	BTDB_2022-0000571.2.clustersGCA_000290895.1_Contig_51_cluster_2
4	BTDB_2025-0002856.1.clustersSAMN33769575-SRR23876397_00026_cluster_1
12	BTDB_2024-0000133.1.clusterscontig00007_cluster_2
4	BTDB_2022-0003810.2.clustersPS01598|SAMN26232393_3_cluster_6
4	AS.BTDB_2025-0004631_c00033_SAMN446...region001
4	AS.BTDB_2022-0003827_c00002_PS01884...region002
7	AS.BTDB_2022-0002217_c00015_GCA_002...region001
12	BTDB_2025-0001834.1.clustersCP103779.1_cluster_2
4	BTDB_2025-0001256.1.clustersSAMN18335976_10_cluster_1
4	AS.BTDB_2022-0000010_DRX057088_00117.region001
5	BTDB_2025-0004632.1.clustersSAMN44680546-SRR31343365_00016_cluster_1
4	BTDB_2022-0002740.2.clustersCP041075.1_cluster_1
1	BTDB_2022-0001831.2.clustersGCA_002564675.1_Contig_61_cluster_1
4	BTDB_2022-0002409.2.clustersGCA_002580975.1_Contig_3_cluster_1
4	AS.BTDB_2025-0002401_c00046_SAMN329...region001
4	BTDB_2025-0001827.1.clustersSAMN29936620-SRR20695163_00061_cluster_1
7	BTDB_2025-0004496.1.clustersSAMN43796923-GCA_042884815.1_Contig_27_cluster_1
4	AS.BTDB_2025-0000790_c00001_SAMN145...region013
4	BTDB_2022-0002327.2.clustersGCA_002577405.1_Contig_30_cluster_1
1	BTDB_2022-0003884.2.clustersSRX6869066_00016_cluster_3
12	BTDB_2024-0000101.1.clusterscontig00020_cluster_1
4	AS.BTDB_2022-0000615_c00060_GCA_000...region001
4	AS.BTDB_2025-0004571_c00008_SAMN439...region001
1	AS.BTDB_2025-0000408_c00009_SAMEA11...region001
1	AS.BTDB_2022-0002740_CP041071.1.region009
0	AS.BTDB_2025-0001606_c00039_SAMN275...region001
4	BTDB_2022-0000776.2.clustersGCA_000832885.1_Contig_1_cluster_4
1	BTDB_2022-0003091.2.clustersGCA_014932895.1_Contig_47_cluster_1
4	BTDB_2022-0002602.2.clustersGCA_002969075.2_Contig_11_cluster_1
4	BTDB_2025-0003963.1.clustersSAMN40001817-GCA_036965685.1_Contig_81_cluster_1
4	AS.BTDB_2022-0002800_c00034_GCA_007...region001
1	BTDB_2022-0001206.2.clustersCP017574.1_cluster_4
7	AS.BTDB_2022-0000895_c00095_SAMN038...region001
1	AS.BTDB_2022-0002794_c00006_GCA_007...region001
8	AS.BTDB_2025-0004075_JBIUGB010000316.region001
1	BTDB_2022-0001525.2.clustersGCA_002556435.1_Contig_147_cluster_1
1	BTDB_2025-0001552.1.clustersSAMN27545613-GCA_025519505.1_Contig_9_cluster_1
1	AS.BTDB_2022-0002807_c00152_GCA_007...region001
7	BTDB_2025-0004061.1.clustersSAMN40627003-SRR28469917_00020_cluster_1
1	BTDB_2022-0003002.2.clustersGCA_010994585.1_Contig_19_cluster_1
1	AS.BTDB_2022-0004075_SRX9201360_00139.region001
4	BTDB_2025-0004579.1.clustersSAMN43998047-GCA_044763155.1_Contig_33_cluster_1
4	BTDB_2022-0002610.2.clustersGCA_002998955.1_Contig_4_cluster_1
1	BGC0002524
1	BGC0001343
10	AS.BTDB_2025-0004126_c00009_SAMN416...region002
5	BTDB_2025-0002165.1.clustersJAQFQH010000018.1_cluster_1
4	BTDB_2022-0003049.2.clustersSAMN14390613_3_cluster_2
6	BTDB_2022-0001149.2.clustersGCA_002147055.1_Contig_63_cluster_1
11	BTDB_2025-0002109.1.clustersJAQFSL010000031.1_cluster_1
2	BTDB_2022-0002848.2.clustersSAMN12751348-SRR10120507_00079_cluster_1
7	AS.BTDB_2022-0000634_c00054_GCA_000...region001
3	AS.BTDB_2022-0003170_JAEHCJ010000001.region001
12	BTDB_2025-0001352.1.clustersSAMN18336073_4_cluster_1
5	AS.BTDB_2024-0000081_contig00017.region001
11	BGC0000943
12	BTDB_2022-0001351.2.clustersGCA_002550785.1_Contig_91_cluster_1
4	BTDB_2025-0002165.1.clustersJAQFQH010000015.1_cluster_1
11	BTDB_2022-0002453.2.clustersGCA_002582935.1_Contig_80_cluster_1
8	BTDB_2022-0002138.2.clustersGCA_002571615.1_Contig_355_cluster_1
10	BTDB_2025-0003963.1.clustersSAMN40001817-GCA_036965685.1_Contig_430_cluster_1
5	BTDB_2025-0004567.1.clustersSAMN43997968-GCA_044764365.1_Contig_15_cluster_1
6	AS.BTDB_2025-0004497_c00146_SAMN437...region001
1	AS.BTDB_2022-0003823_c00002_PS01866...region001
7	AS.BTDB_2025-0004342_JBFNPL010000017.region001
7	AS.BTDB_2022-0003067_c00045_SAMN132...region001
2	AS.BTDB_2025-0004488_c00043_SAMN437...region001
1	AS.BTDB_2025-0004364_JBGCUA010000003.region001
7	BTDB_2025-0004076.1.clustersSAMN40747984_1_cluster_1
7	BTDB_2025-0003189.1.clustersSAMN33940803-SRR24035200_00019_cluster_2
4	BTDB_2022-0001038.2.clustersMNKZ01000010.1_cluster_1
4	AS.BTDB_2025-0004615_c00005_SAMN445...region002
6	AS.BTDB_2025-0000479_c00245_SAMN024...region001
6	BTDB_2022-0003795.2.clustersPS01504|SAMN25893980_1_cluster_6
1	AS.BTDB_2025-0001152_JAEVMC010000014.region001
1	AS.BTDB_2022-0005799_SRX6365709_00022.region001
10	BTDB_2022-0001861.2.clustersGCA_002565385.1_Contig_45_cluster_1
11	AS.BTDB_2022-0001134_c00078_GCA_002...region001
5	BGC0000756
5	BGC0000755
4	AS.BTDB_2022-0002992_CP048687.1.region003
4	AS.BTDB_2022-0003604_JAKUGE010000005.region001
4	AS.BTDB_2022-0003663_c00023_GCA_024...region001
4	AS.BTDB_2025-0003398_c00002_SAMN343...region001
1	BTDB_2025-0001898.1.clustersSAMN31710656-GCA_034399215.1_Contig_29_cluster_1
1	BTDB_2025-0001272.1.clustersSAMN18335992-SRR13988848_00061_cluster_1
8	BTDB_2022-0002340.2.clustersGCA_002577745.1_Contig_46_cluster_1
3	BTDB_2022-0001190.2.clustersGCA_002147935.1_Contig_16_cluster_1
1	BTDB_2022-0000543.2.clustersABDM02000062.1_cluster_1
10	BTDB_2022-0003007.2.clustersGCA_011751555.1_Contig_23_cluster_1
1	BTDB_2022-0002110.2.clustersGCA_002570885.1_Contig_52_cluster_1
7	BTDB_2022-0001531.2.clustersGCA_002556765.1_Contig_104_cluster_1
1	BTDB_2025-0003884.1.clustersSAMN39321986-SRR27479402_00001_cluster_5
4	BTDB_2025-0003377.1.clustersJARVHO010000001.1_cluster_12
9	BTDB_2022-0001986.2.clustersGCA_002568205.1_Contig_485_cluster_1
4	BTDB_2025-0003379.1.clustersJARVHQ010000003.1_cluster_2
3	AS.BTDB_2022-0003654_CP085408.1.region001
4	BGC0000264
0	BTDB_2022-0002190.2.clustersGCA_002574255.1_Contig_101_cluster_1
4	BTDB_2022-0001134.2.clustersGCA_002146755.1_Contig_105_cluster_1
6	AS.BTDB_2025-0001604_c00098_SAMN275...region001
4	BTDB_2025-0004358.1.clustersCP165965.1_cluster_6
4	AS.BTDB_2025-0000301_c00028_SAMEA99...region001
4	AS.BTDB_2022-0002824_c00072_GCA_008...region001
1	BTDB_2024-0000068.1.clusterscontig00017_cluster_1
8	BTDB_2022-0001562.2.clustersGCA_002557395.1_Contig_119_cluster_1
4	BTDB_2024-0000106.1.clusterscontig00044_cluster_1
11	BTDB_2025-0001878.1.clustersSAMN31312545-SRR21929935_00016_cluster_2
1	BTDB_2025-0001504.1.clustersJAKJPU010000002.1_cluster_4
10	BTDB_2022-0001421.2.clustersGCA_002552875.1_Contig_49_cluster_1
1	BTDB_2025-0004442.1.clustersSAMN43795597-GCA_047737825.1_Contig_14_cluster_1
7	BTDB_2022-0001495.2.clustersGCA_002555765.1_Contig_83_cluster_1
10	BTDB_2022-0001370.2.clustersGCA_002551725.1_Contig_187_cluster_1
1	BTDB_2022-0001558.2.clustersGCA_002557315.1_Contig_69_cluster_1
7	BTDB_2022-0001558.2.clustersGCA_002557315.1_Contig_67_cluster_1
2	BTDB_2022-0003172.2.clustersJAEHCH010000012.1_cluster_3
4	BTDB_2022-0002191.2.clustersGCA_002574265.1_Contig_87_cluster_1
1	AS.BTDB_2025-0003997_CP150648.1.region012
8	AS.BTDB_2025-0003145_c00049_SAMN339...region001
4	AS.BTDB_2022-0006207_c00041_SRX1130...region001
10	BTDB_2022-0003634.2.clustersCP063976.1_cluster_2
2	BTDB_2025-0004115.1.clustersJBEUNL010000002.1_cluster_3
4	BTDB_2022-0000627.2.clustersCP004137.1_cluster_2
5	BTDB_2022-0000649.2.clustersGCA_000399265.1_Contig_73_cluster_1
4	BTDB_2025-0002550.1.clustersSAMN32974855-SRR23885308_00023_cluster_2
11	BTDB_2022-0002983.2.clustersGCA_010578145.1_Contig_30_cluster_1
5	BTDB_2022-0002432.2.clustersGCA_002582085.1_Contig_41_cluster_1
7	BTDB_2022-0000721.2.clustersGCA_000746925.1_Contig_11_cluster_3
8	BTDB_2022-0002632.2.clustersQGGE01000066.1_cluster_1
4	BTDB_2025-0003123.1.clustersJASWHZ010000002.1_cluster_3
4	BTDB_2022-0003145.2.clustersGCA_015846095.1_Contig_110_cluster_1
4	BTDB_2022-0001856.2.clustersGCA_002565245.1_Contig_110_cluster_1
4	BTDB_2022-0003325.2.clustersCP036080.1_cluster_1
1	BTDB_2022-0006146.1.clustersSRX113038-SRR392546_00051_cluster_1
10	BTDB_2022-0001882.2.clustersGCA_002565815.1_Contig_63_cluster_1
1	BTDB_2022-0003884.2.clustersSRX6869066_00016_cluster_4
4	BTDB_2025-0001791.1.clustersSAMN29790539-SRR21002610_00083_cluster_1
4	BTDB_2022-0001434.2.clustersGCA_002553125.1_Contig_686_cluster_1
4	BTDB_2025-0004013.1.clustersJBAWLE010000198.1_cluster_1
7	BTDB_2025-0004979.1.clustersJBMEQG010000048.1_cluster_1
1	AS.BTDB_2022-0001662_c00012_GCA_002...region001
1	BGC0000500
1	BTDB_2025-0003369.1.clustersJARVHG010000009.1_cluster_1
1	BTDB_2025-0001640.1.clustersSAMN27545703-GCA_025519765.1_Contig_93_cluster_1
7	BTDB_2025-0003848.1.clustersSAMN38790319-SRR27232546_00003_cluster_3
7	BTDB_2024-0000017.1.clusterscontig00029_cluster_1
12	BTDB_2025-0003092.1.clustersSAMN33794250-SRR23885926_00017_cluster_2
7	BTDB_2025-0002199.1.clustersJAQFOZ010000017.1_cluster_1
1	BTDB_2022-0000957.2.clustersMCAX01000011.1_cluster_1
1	BTDB_2025-0004821.1.clustersSAMN45894627-SRR31760965_00018_cluster_1
7	AS.BTDB_2022-0003682_JANHDV010000006.region001
1	BTDB_2022-0002418.2.clustersGCA_002581455.1_Contig_95_cluster_1
1	BTDB_2022-0002811.2.clustersGCA_008042335.1_Contig_12_cluster_1
6	AS.BTDB_2022-0001756_c00076_GCA_002...region001
7	BTDB_2024-0000123.1.clusterscontig00052_cluster_1
6	BTDB_2025-0002406.1.clustersSAMN32927393-SRR23276696_00063_cluster_1
7	BTDB_2022-0002373.2.clustersGCA_002579475.1_Contig_241_cluster_1
6	BTDB_2025-0003412.1.clustersSAMN34375040-SRR27678707_00005_cluster_1
6	BTDB_2025-0004490.1.clustersSAMN43796664-GCA_042798575.1_Contig_41_cluster_1
7	BTDB_2022-0001054.2.clustersGCA_002003645.1_Contig_74_cluster_1
1	BTDB_2022-0005109.2.clustersSRX2501038_00056_cluster_1
7	BTDB_2025-0002220.1.clustersJAQFOE010000060.1_cluster_1
4	BTDB_2025-0000006.1.clustersbarcode06_00006_cluster_1
4	AS.BTDB_2022-0003776_c00003_PS00429...region001
4	BTDB_2022-0000314.2.clustersERX3363457_00071_cluster_1
7	BTDB_2022-0003492.2.clustersJAHXRX010000074.1_cluster_1
4	BTDB_2024-0000101.1.clusterscontig00078_cluster_1
7	BTDB_2022-0001654.2.clustersGCA_002559665.1_Contig_156_cluster_1
5	BTDB_2025-0003831.1.clustersSAMN38693318-SRR27109226_00008_cluster_2
10	AS.BTDB_2022-0001562_c00016_GCA_002...region001
4	BTDB_2022-0003834.2.clustersPS01946|SAMN30469933_15_cluster_1
4	AS.BTDB_2025-0003684_JAWLLB010000019.region001
4	BTDB_2022-0002608.2.clustersPVRM01000066.1_cluster_1
4	BTDB_2022-0003722.2.clustersGCA_900095005.1_Contig_4_cluster_1
4	BTDB_2022-0000869.2.clustersLRPH01000074.1_cluster_1
4	BTDB_2025-0003879.1.clustersSAMN39321981-SRR27479407_00007_cluster_1
7	BTDB_2022-0000712.2.clustersCP007625.1_cluster_2
1	BTDB_2025-0000403.1.clustersSAMEA116099890-ERR13725871_00073_cluster_1
4	BTDB_2025-0004060.1.clustersSAMN40626903_6_cluster_1
7	BTDB_2025-0003398.1.clustersSAMN34374906-SRR27678747_00003_cluster_1
1	BTDB_2022-0002736.2.clustersSAMN11960211-SRR12104975_00081_cluster_1
4	AS.BTDB_2022-0001380_c00092_GCA_002...region001
7	BTDB_2025-0003882.1.clustersSAMN39321984-SRR27784341_00003_cluster_1
7	BTDB_2022-0001346.2.clustersGCA_002550685.1_Contig_291_cluster_1
6	BTDB_2022-0002547.2.clustersNWUW01000003.1_cluster_2
7	AS.BTDB_2022-0003630_JAKUHD010000048.region001
7	BTDB_2022-0004426.2.clustersSRX12906713_00078_cluster_1
4	BTDB_2025-0003090.1.clustersSAMN33794248-SRR23885949_00094_cluster_1
2	BTDB_2022-0003614.2.clustersJAKUGO010000041.1_cluster_1
10	BTDB_2022-0003630.2.clustersJAKUHD010000026.1_cluster_1
1	BTDB_2025-0003406.1.clustersSAMN34374917-SRR27678727_00007_cluster_1
7	BTDB_2022-0000324.2.clustersERX3363467_00081_cluster_1
